  Language_ISO639;sq
TextCount;Numri i rrymave të tekstit
ThanksTo;Falënderime për
Thousands separator;Ndarësi i mijësheve
Title;Titulli
Title_More;Titulli, më tepër info
TimeZone;Ora lokale
Total;Totali
Track;Emri i kolonës
Track_Count;Numri i kolonës
transfer_characteristics;Karakteristikat e transferimit
Translator;Përktheu
Tree;Pemë
Tree & Text;Pemë & Tekst
UniqueID;
Unknown;Nuk e di
Url;URL
Video;Video
Video stream(s);Rryma(t) e videos
Video_Codec_List;Kodekët e videos
Video_Delay;Vonesa e videos
Video_No;Pa video
Video0_Delay;Vonesa e videos0
Video1;Rryma e parë video
VideoCount;Numri i rrymave të videos
View;Pamje
View_Hint;Ndrysho mënyrën si paraqitet informacioni
Warning : more streams in the files;Kujdes : në skeda ka më shumë rryma
Web;Rrjeta
WebSite_Audio;Shko te trualli në rrjetë i kodekut për audio
WebSite_Audio_More;Shko te trualli në rrjetë (%Url%) për të gjetur kodekun për audio
WebSite_General;Shko te trualli në rrjetë i luajtësit për këtë skedë
WebSite_General_More;Shko te trualli në rrjetë i luajtësit për këtë skedë
WebSite_Text;Shko te trualli në rrjetë i kodekut për tekst
WebSite_Text_More;Shko te trualli në rrjetë (%Url%) për të gjetur kodekun për tekst
WebSite_Url;http://mediainfo.sourceforge.net
WebSite_Video;Shko te trualli në rrjetë i kodekut për video
WebSite_Video_More;Shko te trualli në rrjetë (%Url%) për të gjetur kodekun për video
Width;Gjerësia
Width_Original;
WriteMe;Shkruaji autorit
WriteToTranslator;Shkruaji përkthyesit
Written_Date;Data e shkrimit
Written_Location;Vendi i shkrimit
WrittenBy;Shkruar nga
Yes;Po
Your system;Sistemi yt
ZZ_Automatic_Percent;96
ZZ_AutomaticLanguage_Percent;96
