  Language_ISO639;sq
RemixedBy;Miksuar nga
ReplayGain_Gain;Replay gain
ReplayGain_Peak;Piku i replay gain
Resolution;Rezolucioni
s;s
SamplesPerFrame;
SamplingCount;
SamplingRate;Raporti i shëmbëllimit
Save;Ruaj
ScanOrder;Rendi i skanimit
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;Lloji i skanimit
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;Vënë në ekran nga
Season;Sezoni
SecondaryAudioLanguage;
see below;shih poshtë
Send HeaderFile;Ju lutem dërgojeni këtu Kokën e skedës : http://sourceforge.net/projects/mediainfo/ (Seksioni i problemeve)
Separator_Columns;ndarësi i kolonave
Separator_Lines;ndarësi i rreshtave
SeriesTitle;
ServiceChannel;Numri i kanalit të shërbimit
ServiceKind;
ServiceName;Emri i shërbimit
ServiceProvider;Siguruesi i shërbimit
ServiceType;Lloji i shërbimit
Set;Vendos
Set_Count;Vendos numërimin
Setup;Sistemimi
Sharpness;Mprehtësia
Sheet;Fletë
Sheet (Complete);Fletë (Plot)
Shell extension;Shto në bazë (kur klikon në Explorer me të djathtën do jepet mundësia Media Info)
Shell extension, folder;Edhe për dosjet
Shell InfoTip;Këshilla Informuese në bazë (në Explorer, kur çon mausin mbi skedë do shfaqen info)
ShimName;
ShimVersion;
Show menu;Trego menynë
Show toolbar;Trego brezin e mjeteve
SigningPresent;
SignLanguage;
Sort;Radhitur nga
SoundEngineer;Inxhinieri i zërit
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
Standard;Standardi
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Rryma
Stream_MoreInfo;Më shumë info rreth rrymës
StreamCount;Numri i rrymave si ky lloj
StreamID;ID i rrymës
StreamKind;Lloji i rrymës
StreamKindID;Identifikuesi i rrymës
StreamKindPos;Identifikuesi i rrymës
StreamSize;Masa e rrymës
StreamSize_Demuxed;
StreamSize_Encoded;
StreamSize_Proportion;Proporcioni i rrymës
Subject;Subjekti
Subscribe;
Subscribe_Manage;
Subscription_Android;
Subscription_Thanks;
SubTrack;NënKolona
Summary;Përmbledhja
Supported formats;Format e përkrahura
Supported?;Përkrahet?
SupportUs_Android;
Synopsis;Konspekti
SystemId;Id
Tagged_Application;Aplikimi i etiketimit
Tagged_Date;Data e etiketimit
Technician;Tekniku
TermsOfUse;Detyrimet e përdorimit
TertiaryAudioLanguage;
Text;Tekst
Text - Custom;Tekst - Me porosi
Text (HTML);Tekst (HTML)
Text stream(s);Rrymat e tekstit
Text streams;Rrymat e tekstit
Text_Codec_List;Kodekët e tekstit
Text_No;Pa tekst
Text1;Rryma e parë tekst
Text2;Rryma e dytë tekst
Text3;Rryma e tretë tekst
TextCount;Numri i rrymave të tekstit
TextlessElementsExist;
ThanksTo;Falënderime për
Thousands separator;Ndarësi i mijësheve
TimeCode;
TimeCode_FirstFrame;
TimeCode_Settings;
TimeCode_Source;
TimeCode_Striped;
TimeStamp;
TimeZone;Ora lokale
Title;Titulli
Title_More;Titulli, më tepër info
Total;Totali
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Emri i kolonës
Track_Count;Numri i kolonës
transfer_characteristics;Karakteristikat e transferimit
Translate_Reports;
Translator;Përktheu
Tree;Pemë
Tree & Text;Pemë & Tekst
Type;
UniqueID;
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Nuk e di
Url;URL
Video;Video
Video stream(s);Rryma(t) e videos
Video_Codec_List;Kodekët e videos
Video_Delay;Vonesa e videos
Video_No;Pa video
Video0_Delay;Vonesa e videos0
Video1;Rryma e parë video
VideoComments;
VideoCount;Numri i rrymave të videos
View;Pamje
View_Hint;Ndrysho mënyrën si paraqitet informacioni
Warning : more streams in the files;Kujdes : në skeda ka më shumë rryma
Web;Rrjeta
WebSite;
WebSite_Audio;Shko te trualli në rrjetë i kodekut për audio
WebSite_Audio_More;Shko te trualli në rrjetë (%Url%) për të gjetur kodekun për audio
WebSite_General;Shko te trualli në rrjetë i luajtësit për këtë skedë
WebSite_General_More;Shko te trualli në rrjetë i luajtësit për këtë skedë
WebSite_Text;Shko te trualli në rrjetë i kodekut për tekst
WebSite_Text_More;Shko te trualli në rrjetë (%Url%) për të gjetur kodekun për tekst
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Shko te trualli në rrjetë i kodekut për video
WebSite_Video_More;Shko te trualli në rrjetë (%Url%) për të gjetur kodekun për video
Width;Gjerësia
Width_CleanAperture;
Width_Original;
WriteMe;Shkruaji autorit
WriteToTranslator;Shkruaji përkthyesit
Written_Date;Data e shkrimit
Written_Location;Vendi i shkrimit
WrittenBy;Shkruar nga
Yes;Po
Your system;Sistemi yt
ZZ_Automatic_Percent;82
ZZ_AutomaticLanguage_Percent;86
