  Language_ISO639;eu
NumberOfContents;
NumberOfDynamicObjects;
NumberOfElementaryStreams;
NumberOfObjects;
NumberOfPackFormats;
NumberOfPresentations;
NumberOfProgrammes;
NumberOfStreamFormats;
NumberOfSubstreams;
NumberOfTrackFormats;
NumberOfTrackUIDs;
NumColors;Kolore kopurua
Object;Objektua
ObjectCount;
OK;Ongi
One output file per input file;Irteera fitxategi bat sarrera fitxategiko
Open;Ireki
OpenCandy_01;Deskargatzen ________
OpenCandy_02;__% Osatuta
OpenCandy_03;Internet etenda
OpenCandy_04;________ dekarga osatatuta
OpenCandy_05;Klikatu ezartzeko ________
OpenCandy_06;Zihur zaude ezarpena ezeztatzea nahi duzula?\r\nEzarpen geroagorako uztea nahi baduzu, hautatu 'Ez'.\r\nOharra: Irten hautatu dezakezu menutik ezarpena geroagoratzeko hurrengo aldian berrabiarazi arte.
OpenCandy_07;________ deskarga pausatuta dago.\r\nKlikatu erretilu ikurrean deskargari berrekiteko.
OpenCandy_08;Akats larri bat gertatu da. _________-ren ezarpena utzi egin da.
OpenCandy_09;Pausatu deskarga
OpenCandy_10;Ezarpena ezeztatu
OpenCandy_11;Berrekin deskarga
OpenCandy_12;Irten Ezarpenetatik
OpenCandy_13;___________ - Gomendatzailea: ____________
OpenCandy_14;_________ deskargatzen
OpenCandy_15;___________, ___________-k gomendatzen dizun softwarea deskargatzen ari da. Ezartzeko gertu dagoenean jakinaraziko dizugu.
OpenCandy_16;___________ gertu dago ezartzeko
OpenCandy_17;___________ osorik deskargatu da. Mesedez klikatu 'Ezarri' jarraitzeko.
OpenCandy_18;___________ -> ___________ deskargatuta
OpenCandy_19;OpenCandy-ek garatuta
OpenCandy_20;Gehiago jakiteko: OpenCandy.com
OpenCandy_21;Ezarri
OpenCandy_22;___________-ren ezarpena
OpenCandy_23;Honek ___________-ren ezarpena ezeztatuko du\r\nZihur zaude irten nahi duzula?
OpenCandy_24;Pausatu
OpenCandy_25;Zure deskarga pausatuta dago. Klikatu 'Berrekin' jarraitzeko gertu zaudenean.
OpenCandy_26;Berrekin
OpenCandy_27;Ezarri Orain
OpenCandy_28;Pausatu deskarga
OpenCandy_29;Berrekin deskargari
OpenCandy_30;Ezeztatu Ezarpena
OpenCandy_31;Mesedez hautatu ezarpen aukera
OpenCandy_32;Ezarri ___________
OpenCandy_33;Ez Ezarri
OpenCandy_34;Mesedez hautatu ezarpen aukera
OpenCandy_35;______ software hau gomendatzen du
OpenCandy_36;Zure uneko ezarpena ez da etengo
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
Options;Aukerak
Options_Hint;Hobespenak
Original;Jatorrizkoa
OriginalNetworkName;Jatorrizko sarearen izena
OriginalSourceForm;Jatorrizko iturburuaren forma
OriginalSourceMedium;Jatorrizko iturburuaren media
OriginalSourceMedium_ID;
Originator;
Other;Beste bat
OtherIdentifier;
OtherIdentifierType;
Output;Irteera
Output format;Irteera foratua
OverallBitRate;Bit emaria guztira
OverallBitRate_Maximum;Gehienezko bit emaria guztira
OverallBitRate_Minimum;Gutxienezko bit emaria guztira
OverallBitRate_Mode;Bit emaria modua guztira
OverallBitRate_Nominal;Bit emaria izendatua guztira
PackageName;
PackFormat;
Part;Zatia
Part_Count;Zati kopurua
PartNumber;
PartTotal;
Performer;Egilea
Period;Aldia
Phase90FilterInfo;
Phase90FilterInfo2ch;
Phone;Telefonoa
PictureRatio;
PixelAspectRatio;Pixel aspektu ratioa
PixelAspectRatio_CleanAperture;
PixelAspectRatio_Original;
PlayCounter;
Played_Count;
Played_First_Date;
Played_Last_Date;
PlayTime;
PodcastCategory;
PortableHeadphones;
PortableSpeakers;
Position;Kokapena
Position_Cartesian;
Position_Polar;
Position_Total;Guztira
Preferences;Hobespenak
PreferredDownmix;
Premium;
Premium_Summary;
PreselectionLabel;
Presentation;
PresentationConfig;
PresentationConfig_ContentClassifier;
PresentationID;
PreviousDownmixType5ch;
PreviousMixType2ch;
PrimaryAudioLanguage;
Producer;Ekoizlea
ProductionDesigner;Ekoizpen diseinatzailea
ProductionNumber;
ProductionStudio;Ekoizpen estudioa
ProductPlacement;
Programme;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Argitaratzailea
Purchased_Date;erosketa eguna
Quote character;
RadioStation;Irrati katea
Rating;Mailaketa
RealtimeLoudnessCorrected;
Recorded_Date;Grabaketa eguna
Recorded_Location;Grabaketa tokia
Released_Date;Argitaratze eguna
RemixedBy;
RenderMode;
Renew;
ReplayGain_Gain;Irabazia
ReplayGain_Peak;Irabazi gailurra
Report;
Resolution;Bereizmena
RestoreLifetimeSubscription;
s;s
SamplePeakLevel;
SamplePeakLevel_Album;
SamplesPerFrame;
SamplingCount;Lagin zenbatekoa
SamplingRate;Laginketa neurria
Save;Gorde
ScanOrder;
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;Gidoilaria
ScreenToCenter;
ScreenToFront;
Season;Denboraldia
SecondaryAudioLanguage;
see below;ikusi behean
Send HeaderFile;Mesedez bidali fitxategia hona : http://sourceforge.net/projects/mediainfo/ (Akats arloa)
Separator_Columns;Zutabe bereizlea
Separator_Lines;Lerro bereizlea
SeriesTitle;
ServiceChannel;
ServiceKind;
ServiceName;Zerbitzuaren izena
ServiceProvider;Zerbitzu hornitzailea
ServiceType;Zerbitzu mota
Set;Ezarri
Set_Count;Ezarri zenbatekoa
Setup;Ezarpena
Sharpness;Garbitasuna
Sheet;Orria
Sheet (Complete);Orria (Osoa)
Shell extension;Explorer hedapena (Windows Explorer, eskuin klikatu agiri bat, MediaInfo aukera bat egongo da)
Shell extension, folder;Karpetentzat ere bai
Shell InfoTip;Explorer Tresnaburua (Explorerrean, mugitu sagua fitxategiaren gainean, argibideak erakutsiko dira)
ShimName;
ShimVersion;
Show menu;Erakutsi menua
Show toolbar;Erakutsi tresna barra
SignalGroup;
SigningPresent;
SignLanguage;
Sort;Ordenatu honela
SoundCategory;
SoundEngineer;Soinu ingeniaria
Source;Iturburua
Source_Duration;Iturburuaren iraupena
Source_FrameCount;Iturburu fotograma kopurua
Source_SamplingCount;Iturburu lagin zenbatekoa
Source_StreamSize;Iturburu jario neurria
Source_StreamSize_Encoded;Iturburu kodeaketa jario neurria
SpokenSubtitles;
Standard;Estandarra
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Jarioa
Stream_MoreInfo;Jarioari buruzko argibide gehiago
StreamCount;Mota honetako jario kopurua
StreamFormat;
StreamID;Jario ID-a
streamIdentifier;
StreamKind;Jario Mota
StreamKindID;
StreamKindPos;
StreamSize;
StreamSize_Demuxed;
StreamSize_Encoded;
StreamSize_Proportion;
Subject;Gaia
Subscribe;
Subscribe_Button;
Subscribe_Failed;
Subscribe_Manage;
Subscribe_Renew;
Subscribe_Renew_Price;
Subscribe_Unaviable;
Subscribe_Waiting;
Subscription_Active;
Subscription_Android;
Subscription_Ended;
Subscription_Expired;
Subscription_Lifetime;
Subscription_Thanks;
Substream;
SubTrack;Azpi-pista
SubtstreamIdChannel;
Summary;Laburpena
Supported formats;Onartutako formatuak
Supported?;Onartua?
SupportUs;
SurroundAttenuationKnown;
SwitchGroup;
Synopsis;Laburpena
SystemId;
Tagged_Application;Aplikazio etiketatzea
Tagged_Date;Etiketatze eguna
TargetDeviceConfig;
Technician;Teknikaria
TermsOfUse;Erabilpen baldintzak
TertiaryAudioLanguage;
Text;Testua
Text - Custom;
Text (HTML);
Text stream(s);
Text streams;
Text_Codec_List;
Text_No;Testurik gabe
Text1;
Text2;
Text3;
TextCount;Testu kopurua
TextlessElementsExist;
ThanksTo;Eskerrak
Thousands separator;Milakoen bereizlea 
TimeCode;Denbora-kodea
TimeCode_FirstFrame;
TimeCode_LastFrame;
TimeCode_MaxFrameNumber;
TimeCode_MaxFrameNumber_Theory;
TimeCode_Settings;Denbora-kodea, ezarpenak
TimeCode_Source;Denbora-kodea, iturburua
TimeCode_Stripped;
TimeStamp;
TimeZone;Ordu-eremua
Title;Izenburua
Title_More;Izenburua, argibide gehiago
Top4ToTop2;
TopBackToFront;
TopBackToSide;
TopFrontToBack;
TopFrontToFront;
TopFrontToSide;
Total;Guztira
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Pista
Track_Count;Pista kopurua
TrackFormat;
TrackIndex;
TrackUID;
transfer_characteristics;Eskualdaketa ezaugarriak
Translate_Reports;
Translator;Itzultzailea
Transport;
Tree;Zuhaitza
Tree & Text;Zuhaitza eta Testua
Trim_Center;
Trim_Height;
Trim_Surround;
TrimMode;
TrimMode0i;
TrimMode1i;
TrimMode2i;
TrimMode3i;
TrimMode4i;
TrimMode5i;
TrimMode6i;
TrimMode7i;
TrimMode8i;
TruePeakLevel;
TruePeakLevel_Album;
Type;Mota
TypeDefinition;
UniqueID;ID bakarra
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Ezezaguna
Url;Url-a
Video;Bideoa
Video stream(s);Bideo jarioa(k)
Video_Codec_List;Bideo Kodekak
Video_Delay;Bideoarekiko atzerapena
Video_No;Bideorik ez
Video0_Delay;Bideo0 atzerapena
Video1;Lehen bideo jarioa
VideoComments;
VideoCount;Bideo kopurua
View;Ikusi
View_Hint;Aldatu argibideak ikusteko modua
Views;
Warning : more streams in the files;Kontuz : jario gehiago daude fitxategietan
Web;Web orria
WebSite;Webgunea
WebSite_Audio;Joan audio kodek honen webgunera
WebSite_Audio_More;Joan webgunera (%Url%) audio kodek hau bilatzeko
WebSite_General;Joan agiri honentzako irakurgailu webgunera
WebSite_General_More;Joan fitxategi honentzako irakurgailu webgunera
WebSite_Text;Joan testu kode honen webgunera
WebSite_Text_More;Joan webgunera (%Url%) testu kodek hau bilatzeko
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Joan bideo kodek honen webgunera
WebSite_Video_More;Joan webgunera (%Url%) bideo kodek hau bilatzeko
Width;Zabalera
Width_CleanAperture;
Width_Original;Jatorrizko zabalera
WriteMe;Idatzi post@ egileari
WriteToTranslator;Idatzi itzultzaileari
Written_Date;Idazte eguna
Written_Location;Idazte helbidea
WrittenBy;Idazlea
Yes;Bai
Your system;Zure sistema
ZZ_Automatic_Percent;75
ZZ_AutomaticLanguage_Percent;75
