  Language_ISO639;de
PlayCounter;WiedergabezÃ¤hler
Played_Count;mal gespielt
Played_First_Date;erstmals gespielt
Played_Last_Date;zuletzt gespielt
PlayTime;Spielzeit
Position;Position
Position_Total;total
Preferences;Voreinstellungen
PrimaryAudioLanguage;
Producer;Produzent
ProductionDesigner;Produktionsdesigner
ProductionNumber;
ProductionStudio;Produktionsstudio
ProductPlacement;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Verleger
Purchased_Date;Kaufdatum
Quote character;AnfÃ¼hrungszeichen
RadioStation;Radiosender
Rating;Bewertung
Recorded_Date;Aufnahmedatum
Recorded_Location;Aufnahmeort
Released_Date;VerÃ¶ffentlichungsdatum
RemixedBy;Remixed von
ReplayGain_Gain;Wiedergabe-VerstÃ¤rkung
ReplayGain_Peak;Wiedergabe-VerstÃ¤rkung, Spitze
Resolution;AuflÃ¶sung
s;s
SamplingCount;
SamplingRate;Samplingrate
Save;Speichern
ScanOrder;Scanreihenfolge
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;Scantyp
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;Drehbuch von
Season;Staffel
SecondaryAudioLanguage;
see below;siehe unten
Send HeaderFile;Bitte die Header-Datei hierhin schicken: http://sourceforge.net/projects/mediainfo/ (unter Bugs)
Separator_Columns;Spaltentrenner
Separator_Lines;Zeilentrenner
SerieTitle;
ServiceChannel;Nummer des Service-Kanals
ServiceName;Service-Name
ServiceProvider;Service-Anbieter
ServiceType;Service-Typ
Set;Mediensatz
Set_Count;Nummer im Mediensatz
Setup;Setup
Sharpness;SchÃ¤rfe
Sheet;Tabelle
Sheet (Complete);Tabelle (komplett)
Shell extension;Shell-Erweiterung (bei Rechtsklick im Explorer erscheint ein Media Info Eintrag...)
Shell extension, folder;Auch fÃ¼r Verzeichnisse
Shell InfoTip;Shell InfoTip (bewege den Mauszeiger im Explorer Ã¼ber eine Datei und Infos werden angezeigt)
ShimName;
Show menu;MenÃ¼ anzeigen
Show toolbar;Toolbar anzeigen
SigningPresent;
SignLanguage;
Sort;Sortiert nach
SoundEngineer;Tontechniker
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
Standard;Standard
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Stream
Stream_MoreInfo;Mehr Informationen Ã¼ber den Stream
StreamCount;Anzahl der Streams dieser Art
StreamID;Stream-ID
StreamKind;Art des Streams
StreamKindID;ID des Stream-Identifiers
StreamKindPos;Position des Stream-Identifiers
StreamSize;Stream-GrÃ¶ÃŸe
StreamSize_Encoded;
StreamSize_Proportion;Proportionen dieses Streams
Subject;Inhalt
SubTrack;Sub-Track
Summary;Zusammenfassung
Supported formats;UnterstÃ¼tzte Formate
Supported?;UnterstÃ¼tzt?
Synopsis;Fazit
SystemId;ID
Tagged_Application;Tagging-Anwendung
Tagged_Date;Tagging-Datum
Technician;Techniker
TermsOfUse;Verwendungsrichtlinien
TertiaryAudioLanguage;
Text;Text
Text - Custom;Text - benutzerdefiniert
Text (HTML);Text (HTML)
Text stream(s);Text-Stream(s)
Text streams;Text-Streams
Text_Codec_List;Text-Codecs
Text_No;kein Text
Text1;Erster Text-Stream
Text2;Zweiter Text-Stream
Text3;Dritter Text-Stream
TextCount;Anzahl der Text-Streams
TextlessElementsExist;
ThanksTo;Dank an
Thousands separator;Tausender-Markierung
TimeCode;
TimeCode_FirstFrame;
TimeCode_Settings;
TimeCode_Source;
TimeCode_Striped;
TimeStamp;
TimeZone;Zeitzone
Title;Titel
Title_More;Titel, mehr Informationen
Total;Gesamt
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Track-Name
Track_Count;Anzahl der Tracks
transfer_characteristics;
Translator;Ãœbersetzer
Tree;Baumstruktur
Tree & Text;Baumstruktur & Text
Type;
UniqueID;
Unknown;Unbekannt
Url;URL
Video;Video
Video stream(s);Video-Stream(s)
Video_Codec_List;Video-Codecs
Video_Delay;Video VerzÃ¶gerung
Video_No;kein Video
Video0_Delay;Video0 VerzÃ¶gerung
Video1;Erster Video-Stream
VideoComments;
VideoCount;Anzahl der Video-Streams
View;Ansicht
View_Hint;Ã„ndert die Darstellung der angezeigten Informationen
Warning : more streams in the files;Achtung! Es befinden sich mehr Streams in den Dateien
Web;Internet
WebSite_Audio;Lade die Webseite dieses Audio-Codecs
WebSite_Audio_More;Lade dier Webseite (%Url%) um diesen Audio-Codec zu finden
WebSite_General;Zur Webseite eines Players fÃ¼r diese Datei gehen
WebSite_General_More;Zu dieser Webseite (%Url%) gehen um einen passenden Player fÃ¼r diese Datei zu finden
WebSite_Text;Zur Webseite dieses Text-Codecs gehen
WebSite_Text_More;Zu dieser Webseite (%Url%) gehen um diesen Text-Codec zu finden
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Zur Webseite dieses Video-Codecs gehen
WebSite_Video_More;Zu dieser Webseite (%Url%) gehen um diesen Video-Codec zu finden
Width;Breite
Width_Original;
WriteMe;Mail an den Autor
WriteToTranslator;Mail an den Ãœbersetzer
Written_Date;Datum des Schreibbeginns
Written_Location;Ort des Schreibbeginns
WrittenBy;Geschrieben von
Yes;Ja
Your system;Deine Systeminformationen
ZZ_Automatic_Percent;85
ZZ_AutomaticLanguage_Percent;89
