  Language_ISO639;bg
ThanksTo;БлагодарениеНа
Thousands separator;Хиляден разделител
TimeCode;
TimeCode_FirstFrame;
TimeCode_Settings;
TimeCode_Source;
TimeStamp;
TimeZone;ВремеваЗона
Title;Име
Title_More;Име_Повече
Total;Общо
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Номер
Track_Count;Номер_Брой
transfer_characteristics;трансфер_характеристики
Translator;Преводач
Tree;Дърво
Tree & Text;Дърво и Текст
Type;
UniqueID;
Unknown;Незнаен
Url;ЮРЛ
Video;Видео
Video stream(s);Видео поток(ци)
Video_Codec_List;Видео_Кодек_Списък
Video_Delay;Видео_Забавяне
Video_No;Видео_Но
Video0_Delay;Видео0_Забавяне
Video1;Видео1
VideoComments;
VideoCount;ВидеоБрой
View;Преглед
View_Hint;Преглед_Подсказване
Warning : more streams in the files;Предупреждение : повече потоци във файловете
Web;Уеб
WebSite_Audio;Уебсайт_Аудио
WebSite_Audio_More;Уебсайт_Аудио_Повече
WebSite_General;Уебсайт_Генерално
WebSite_General_More;Уебсайт_Генерално_Повече
WebSite_Text;Уебсайт_Текст
WebSite_Text_More;Уебсайт_Текст_Повече
WebSite_Url;Уебсайт_ЮРЛ
WebSite_Video;Уебсайт_Видео
WebSite_Video_More;Уебсайт_Видео_Повече
Width;Ширина
Width_Original;Ширина_Оригинал
WriteMe;ПишетеМи
WriteToTranslator;ПишетеНаПреводача
Written_Date;Написано_Дата
Written_Location;Написано_Локация
WrittenBy;НаписаноОт
Yes;Да
Your system;Вашата система
ZZ_Automatic_Percent;84
ZZ_AutomaticLanguage_Percent;91
