Language_ISO639;tr
Language_ii;Sichuan Yi
Language_ik;Inupiaq
Language_Info;Dil bilgisi
Language_io;Ido
Language_is;Icelandic
Language_it;İtalyanca
Language_iu;Inuktitut
Language_ja;Japonca
Language_jv;Javanese
Language_ka;Gürcüce
Language_kg;Kongo
Language_ki;Kikuyu
Language_kj;Kuanyama
Language_kk;Kazakh
Language_kl;Kalaallisut
Language_km;Khmer
Language_kn;Kannada
Language_ko;Korece
Language_kr;Kanuri
Language_ks;Kashmiri
Language_ku;Kürtçe
Language_kv;Komi
Language_kw;Cornish
Language_ky;Kirghiz
Language_la;Latince
Language_lb;Luxembourgish
Language_lg;Ganda
Language_li;Limburgish
Language_ln;Lingala
Language_lo;Lao
Language_lt;Lithuanian
Language_lu;Luba-Katanga
Language_lv;Latvian
Language_mg;Malagasy
Language_mh;Marshallese
Language_mi;Maori
Language_mis;Tanımlanmamış Dil
Language_mk;Macedonian
Language_ml;Malayalam
Language_mn;Mongolian
Language_mn-cn;Moğolca (Çin)
Language_mo;Moldavian
Language_More;Dil, daha fazla bilgi
Language_mr;Marathi
Language_ms;Malay
Language_ms-bn;Malayca (Brunei)
Language_mt;Maltese
Language_mul;Çoklu diller
Language_my;Burmese
Language_na;Nauru
Language_nb;Norveççe Bokmal
Language_nd;Ndebele
Language_ne;Nepali
Language_ng;Ndonga
Language_nl;Flemenkçe
Language_nl-be;Flemenkçe (Belçika)
Language_nn;Norveççe Bokmal
Language_no;Norveççe
Language_nr;Ndebele
Language_nv;Navaho
Language_ny;Nyanja
Language_oc;Occitan
Language_oj;Ojibwa
Language_om;Oromo
Language_or;Oriya
Language_os;Ossetic
Language_pa;Panjabi
Language_pi;Pali
Language_pl;Polonyaca
Language_ps;Pushto
Language_pt;Portekizce
Language_pt-br;Portekizce (Brezilya)
Language_qu;Quechua
Language_rm;Raeto-Romance
Language_rn;Rundi
Language_ro;Romance
Language_ru;Rusça
Language_rw;Kinyarwanda
Language_sa;Sanskrit
Language_sc;Sardinian
Language_sd;Sindhi
Language_se;Northern Sami
Language_sg;Sango
Language_si;Sinhalaca
Language_sk;Slovakça
Language_sl;Slovenian
Language_sm;Samoan
Language_smi;Sami Dili
Language_sn;Shona
Language_so;Somalica
Language_sq;Albanian
Language_sr;Sırpça
Language_ss;Swati
Language_st;Sotho
Language_su;Sundanese
Language_sv;Swedish
Language_sw;Swahili
Language_ta;Tamil
Language_te;Telugu
Language_tg;Tajik
Language_th;Tayca
Language_ti;Tigrinya
Language_tk;Türkmence
Language_tl;Tagalog
Language_tn;Tswana
Language_to;Tonga
Language_tr;Türkçe
Language_ts;Tsonga
Language_tt;Tatar
Language_tw;Twi
Language_ty;Tahitian
Language_ug;Uighur
Language_uk;Ukrainian
Language_und;Tanımlanmamış Dil
Language_ur;Urdu
Language_uz;Özbekçe
Language_ve;Venda
Language_vi;Vietnamca
Language_vo;Volapuk
Language_wa;Walloon
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Yiddish
Language_yo;Yoruba
Language_yue;Çince (Kanton)
Language_za;Zhuang
Language_zh;Çince
Language_zh-cmn;Çince (Mandarin)
Language_zh-CN;Çince (Çin)
Language_zh-cn;Çince (Çin)
Language_zh-Hans;Çince (Basitleştirilmiş)
Language_zh-Hant;Çince (Geleneksel)
Language_zh-TW;Çince (Tayvan)
Language_zh-tw;Çince (Tayvan)
Language_zh-yue;Çince (Kanton)
Language_zu;Zulu
Language_zxx;Dil İçeriği Yok
LanguageChanges;Dil Değişiklikleri
Languages;Diller
LawRating;Kanun oranı
LCCN;LCCN
LegacyStreamDisplay;Eski Akış Gösterimi
LfeAttenuationKnown;LFE Zayıflaması Biliniyor
LfeMixGain;LFE Karışım Kazancı
lfeon;lfeon
Library;Çoklama kütüphanesi
Lifetime_Subscribe_Button;Ömür Boyu Abone Ol Düğmesi
Lightness;Canlılık
Lines_Count;Satır Sayısı
Lines_MaxCountPerEvent;Olay Başına Maksimum Satır
LineUpStart;Sıra Başlangıcı
LinkedTo_Bed_Pos;Yatak Konumuna Bağlı
LinkedTo_ChannelFormat_Pos;Kanal Biçimi Konumuna Bağlı
LinkedTo_ComplementaryObject_Pos;Tamamlayıcı Nesne Konumuna Bağlı
LinkedTo_Content_Pos;İçerik Konumuna Bağlı
LinkedTo_Group_Pos;Grup Konumuna Bağlı
LinkedTo_Object_Pos;Nesne Konumuna Bağlı
LinkedTo_PackFormat_Pos;Paket Biçimi Konumuna Bağlı
LinkedTo_SignalGroup_Pos;Sinyal Grubu Konumuna Bağlı
LinkedTo_StreamFormat_Pos;Akış Biçimi Konumuna Bağlı
LinkedTo_Substream_Pos;Alt Akış Konumuna Bağlı
LinkedTo_TrackFormat_Pos;İz Biçimi Konumuna Bağlı
LinkedTo_TrackUID_Pos;İz UID Konumuna Bağlı
List;Liste
LongTermLoudness;Uzun Süreli Ses Yüksekliği
LoRoCenterMixGain;LoRo Merkez Karışım Kazancı
LoRoSurroundMixGain;LoRo Surround Karışım Kazancı
Loudness_Anchor;Ses Yüksekliği Çapası
Loudness_Anchor_Album;Ses Yüksekliği Çapası, Albüm
Loudness_Count;Ses Yüksekliği Sayısı
Loudness_Count_Album;Ses Yüksekliği Sayısı, Albüm
Loudness_MaximumMomentary;Maksimum Anlık Ses Yüksekliği
Loudness_MaximumMomentary_Album;Maksimum Anlık Ses Yüksekliği, Albüm
Loudness_MaximumOfRange;Aralığın Maksimumu
Loudness_MaximumOfRange_Album;Aralığın Maksimumu, Albüm
Loudness_MaximumShortTerm;Maksimum Kısa Süreli Ses Yüksekliği
Loudness_MaximumShortTerm_Album;Maksimum Kısa Süreli Ses Yüksekliği, Albüm
Loudness_ProductionMixingLevel;Yapım Karışım Seviyesi
Loudness_ProductionMixingLevel_Album;Yapım Karışım Seviyesi, Albüm
Loudness_Program;Program Ses Yüksekliği
Loudness_Program_Album;Program Ses Yüksekliği, Albüm
Loudness_Range;Ses Yüksekliği Aralığı
Loudness_Range_Album;Ses Yüksekliği Aralığı, Albüm
Loudness_RoomType;Oda Türü
Loudness_RoomType_Album;Oda Türü, Albüm
LtRtCenterMixGain;LtRt Merkez Karışım Kazancı
LtRtSurroundMixGain;LtRt Surround Karışım Kazancı
Lyricist;Söz yazarı
Lyrics;Şarkı Sözleri
MacCreatedBy;Mac Tarafından Oluşturuldu
Mastered_Date;Elden geçirildiği tarihi
MasteredBy;Elden geçiren
MasteringDisplay_ColorPrimaries;Ekran renk önceliklerini elden geçirme
MasteringDisplay_Luminance;Ekran parlaklığını elden geçirme
Matrix_Channel(s);Matriks kodlama, Kanal
Matrix_ChannelPositions;Matriks kodlama, kanal konumları
matrix_coefficients;Matriks katsayısı
matrix_coefficients_Source;Matriks Katsayıları, Kaynak
Matrix_Format;Matriks kodlama, biçim
MaxCLL;En Fazla İçerik Işık Seviyesi
MaxFALL;En Fazla Kare-Ortalama Işık Seviyesi
MaxGain;Maksimum Kazanç
MaximumMomentaryLoudness;Maksimum Anlık Ses Yüksekliği
MaxTruePeak;Maksimum Gerçek Tepe
MD5;MD5
MD5_Unencoded;MD5 Kodlanmamış
MediaInfo_About;MediaInfo, görüntü ve ses dosyaları hakkında teknik ve etiket bilgilerine kolay erişim sağlar.\r\nMac App Store grafik kullanıcı arayüzü dışında, açık kaynak kodlu yazılımdır, bu da çalışma özgürlüğüne sahip, geliştirmek ve programı yeniden dağıtmak için (BSD lisansı) son kullanıcıya ve geliştiricilere ücretsiz olduğu anlamına gelir.
MediaInfo_About_About;MediaInfo Hakkında
MediaInfo_WebSite;MediaInfo Web Sitesi
Menu stream(s);Menü akışları
Menu;Menü
Menu_Codec_List;Menü kodekleri
Menu_Hint;Daha fazla olasılık
Menu_No;Menü yok
MenuCount;Meni sayısı
MenuID;Menü ID
Metadata_Format;Üst Veri Biçimi
Metadata_Format_Type;Üst Veri Biçimi Türü
Metadata_MuxingMode;Üst Veri Çoklama Kipi
Minimize;Simge Durumuna Küçült
MixType;Karışım Türü
mn; dk
Mood;Mizaç
More;Daha
Movie;Film adı
ms; ms
MSDI;MSDI
MultipleStream;Çoklu Akış
MultiView_Count;Çoklu Görünüm Sayısı
MusicBy;Müziği yapan
MuxingMode;Çoklama kipi
MuxingMode_MoreInfo;Çoklama kipi, daha fazla bilgi
MuxingMode_PackedBitstream;Paketlenmiş bit akışı
Name;Adı
Nationality;Uyruk
NetworkName;Ağ adı
New;Yeni
Newest version;Yeni sürümleri denetle (Internet bağlantısı gerekir)
NewVersion_Menu;Yeni bir sürüm mevcut
NewVersion_Question_Content;Yeni sürüm (s%Version%) mevcut, indirmek ister misiniz?
NewVersion_Question_Title;Yeni bir sürüm yayımlandı!
No;Hayır
Not yet;Henüz yok
NumberOfChannelFormats;Kanal Biçimleri Sayısı
NumberOfContents;İçerik Sayısı
NumberOfDynamicObjects;Değişken nesneler sayısı
NumberOfElementaryStreams;Temel Akış Sayısı
NumberOfObjects;Nesne Sayısı
NumberOfPackFormats;Paket Biçimleri Sayısı
NumberOfPresentations;Sunum Sayısı
NumberOfProgrammes;Program Sayısı
NumberOfStreamFormats;Akış Biçimleri Sayısı
NumberOfSubstreams;Alt Akış Sayısı
NumberOfTrackFormats;İz Biçimleri Sayısı
NumberOfTrackUIDs;İz UID Sayısı
NumColors;Renk sayısı
Object;Nesne
ObjectCount;Nesne Sayısı
OK;TAMAM
One output file per input file;Girdi dosyası başına bir çıktı dosyası
OnlyDiffer;Yalnızca Farklı Olanlar
OnlyIdentical;Yalnızca Aynı Olanlar
Open;Aç
OpenCaptionsLanguage;Açık Açıklamalı Alt Yazı Dili
OpenCaptionsPresent;Açık Açıklamalı Alt Yazı Sunumu
OpenCaptionsType;Açık Açıklamalı Alt Yazı Türü
OpenFile;Dosya Aç
OpenFileError;Dosya Açma Hatası
OpenRecent;Son Kullanılanlar
Options;Seçenekler
Options_Hint;Tercihler
Original;Orijinal
OriginalNetworkName;Orijinal ağ adı
OriginalSourceForm;Orijinal kaynak biçimi
OriginalSourceMedium;Orijinal kaynak ortamı
OriginalSourceMedium_ID;Orijinal kaynak ortamındaki ID
Originator;Oluşturan
Other;Diğer
OtherIdentifier;Diğer Tanımlayıcı
OtherIdentifierType;Diğer Tanımlayıcı Türü
OtherViews;Diğer Görünümler
Output format;Çıktı biçimi
Output;Çıktı
OverallBitRate;Kapsamlı bit hızı
OverallBitRate_Maximum;En Fazla Kapsamlı bit hızı
OverallBitRate_Minimum;En Az Kapsamlı bit hızı
OverallBitRate_Mode;Kapsamlı bit hızı kipi
OverallBitRate_Nominal;Düşük Kapsamlı bit hızı
OverallBitRate_Precision_Max;Kapsamlı Bit Hızı Hassasiyeti, Maks
OverallBitRate_Precision_Min;Kapsamlı Bit Hızı Hassasiyeti, Min
PackageName;Paket adı
PackFormat;Paket Biçimi
Part;Parça
Part_Count;Toplam sayı
PartialParsing;Kısmi Ayrıştırma
PartNumber;Parça Numarası
PartTotal;Parça Toplamı
Performer;Sanatçı
Period;Dönem
Phase90FilterInfo;90 Derece Filtre Bilgisi
Phase90FilterInfo2ch;90 Derece Filtre Bilgisi, 2 Kanal
Phone;Telefon
PictureRatio;Resim Oranı
PixelAspectRatio;Piksel en-boy oranı
PixelAspectRatio_CleanAperture;Temiz diyafram piksel en-boy oranı
PixelAspectRatio_Original;Orijinal piksel en-boy oranı
PlayCounter;Oynatma Sayacı
Played_Count;Oynatma sayısı
Played_First_Date;İlk oynatma
Played_Last_Date;Son oynatma
PlayTime;Oynatma Süresi
PodcastCategory;Podcast kategorisi
PortableHeadphones;Taşınabilir Kulaklıklar
PortableSpeakers;Taşınabilir Hoparlörler
Position;Konum
Position_Cartesian;Kartezyen Konum
Position_Polar;Kutupsal Konum
Position_Total;Toplam
Preferences;Tercihler
PreferredDownmix;Tercih Edilen Downmix
Premium;Premium
Premium_Feature;Premium Özellik
Premium_Summary;Premium Özet
PreselectionLabel;Ön Seçim Etiketi
Presentation;Sunum
PresentationConfig;Sunum Yapılandırması
PresentationConfig_ContentClassifier;Sunum Yapılandırması, İçerik Sınıflandırıcı
PresentationID;Sunum Kimliği
PresentationLevel;Sunum Seviyesi
PreviousDownmixType5ch;Önceki 5 Kanal Downmix Türü
PreviousMixType2ch;Önceki 2 Kanal Karışım Türü
PrimaryAudioLanguage;Birincil Ses Dili
Producer;Yapımcı
ProductionDesigner;Üretim tasarımcısı
ProductionNumber;Üretim Numarası
ProductionStudio;Üretim stüdyosu
ProductPlacement;Ürün Yerleştirme
Program name;Program Adı
Programme;Program
ProgrammeHasText;Programda Metin Var
ProgrammeTextLanguage;Program Metin Dili
ProgrammeTitle;Program Başlığı
Publisher;Yayıncı
Purchased_Date;satın alma tarihi
PurchaseInformation;Satın Alma Bilgisi
Quote character;Alıntı bölümü
RadioStation;Radyo istasyonu
Rating;İzlenme oranı
RealtimeLoudnessCorrected;Gerçek Zamanlı Ses Yüksekliği Düzeltildi
Recorded_Date;Kaydedildiği tarih
Recorded_Location;Kaydedildiği yer
Reel;Makara
Released_Date;Yayım tarihi
RemixedBy;Remiksleyen
RenderMode;İşleme Kipi
Renew;Yenile
ReplayGain_Gain;Tekrar oynatma kazancı
ReplayGain_Peak;Tekrar oynatma kazancı ucu
Report;Rapor
ReportBy;Raporlayan
Resolution;Çözünürlük
RestoreLifetimeSubscription;Ömür Boyu Aboneliği Geri Yükle
Retry;Yeniden Dene
s; s
Sampled_Height;Örneklenen Yükseklik
Sampled_Width;Örneklenen Genişlik
SamplePeakLevel;Örnek Tepe Seviyesi
SamplePeakLevel_Album;Örnek Tepe Seviyesi, Albüm
SamplesPerFrame;Kare başına örnek
SamplingCount;Örnek sayısı
SamplingCount_Source;Kaynak Örnek Sayısı
SamplingRate;Örnekleme hızı
Save;Kaydet
ScanOrder;Tarama sırası
ScanOrder_Original;Orijinal tarama sırası
ScanOrder_Stored;Saklanan tarama sırası
ScanOrder_StoredDisplayedInverted;Tarama sırası, ters çevrilmiş saklanan/görüntülenen sıra
ScanOrder_StoreMethod;Tarama sırası, saklama yöntemi
ScanType;Tarama türü
ScanType_Original;Orijinal tarama türü
ScanType_StoreMethod;Tarama türü, saklama yöntemi
ScreenplayBy;Senaryo
ScreenToCenter;Ekranı Ortala
ScreenToFront;Ekranı Öne Getir
Season;Sezon
SecondaryAudioLanguage;İkincil Ses Dili
see below;aşağı bakın
Select your directory;Dizininizi seçin
SelectAll;Tümünü Seç
Send HeaderFile;Lütfen Header dosyasını buraya gönderin : http://sourceforge.net/projects/mediainfo/ (Bug bölümü)
Separator_Columns;sütun ayırıcı
Separator_Lines;satır ayırıcı
SeriesTitle;Dizi Başlığı
ServiceChannel;Hizmet kanal numarası
ServiceKind;Hizmet çeşidi
ServiceName;Hizmet adı
ServiceProvider;Hizmet sağlayıcısı
Services;Servisler
ServiceType;Hizmet türü
Set;Ayar
Set_Count;Ayar sayısı
Setup;Ayar
Sharpness;Keskinlik
Sheet (Complete);Sayfa (Tam)
Sheet;Sayfa
Shell extension, folder;Klasörler için de
Shell extension, separate instance;Gezgin uzantısı, ayrı örnek
Shell extension;Gezgin uzantısı (Windows Gezgini'nde, bir dosyaya sağ tuşla tıklamada, MediaInfo seçeneği olacaktır)
Shell InfoTip;Gezgin Araç İpucu (Windows Gezgini'nde, fare dosya üzerine hareket ettirildiğinde, bilgi görüntülenecektir)
ShimName;Dolgu Adı
ShimVersion;Dolgu Sürümü
Show menu;Menüyü göster
Show toolbar;Araç çubuğunu göster
Show;Göster
ShowAll;Tümünü göster
ShowMore;Daha Fazla Göster
SignalGroup;Sinyal Grubu
SigningPresent;İşaretle Sunum
SignLanguage;İşaret Dili
Sort;Sıralayan
SoundCategory;Ses Kategorisi
SoundEngineer;Ses teknisyeni
Source;Kaynak
Source_Duration;Kaynak süresi
Source_FrameCount;Kaynak kare sayısı
Source_SamplingCount;Kaynak örnek sayısı
Source_StreamSize;Kaynak akış boyutu
Source_StreamSize_Encoded;Kaynak kodlanmış akış boyutu
SpokenSubtitles;Sözlü Altyazı
Standard;Standart
Stored_Height;Saklanan Yükseklik
StoreMethod_InterleavedFields;Boşluklu alanlar
StoreMethod_SeparatedFields;Ayrılmış alanlar
StoreMethod_SeparatedFields_1;Ayrılmış alanlar (blok başına 1 alan)
StoreMethod_SeparatedFields_2;Ayrılmış alanlar (blok başına 2 alan)
Stream;Akış
Stream_MoreInfo;Akış hakkında daha fazla bilgi
StreamCount;Bu çeşidin akış sayısı
StreamFormat;Akış Biçimi
StreamID;Akış ID
streamIdentifier;Akış Tanımlayıcı
StreamKind;Akış çeşidi
StreamKindID;Akış tanımlayıcısı
StreamKindPos;Akış tanımlayıcısı
StreamOrder;Akış Sırası
Streams;Akışlar
StreamSize;Akış boyutu
StreamSize_Demuxed;Çoklama ayrıldığındaki akış boyutu
StreamSize_Encoded;Kodlanmış akış boyutu
StreamSize_Proportion;Bu akışın oranı
Subject;Konu
Subscribe;Abone Ol
Subscribe_Button;Abone Ol Düğmesi
Subscribe_Failed;Abonelik Başarısız
Subscribe_Manage;Aboneliği Yönet
Subscribe_Premium;Premium Abone Ol
Subscribe_Renew;Aboneliği Yenile
Subscribe_Renew_Price;Yenileme Fiyatı
Subscribe_Unaviable;Abonelik Mevcut Değil
Subscribe_Waiting;Abonelik Bekleniyor
Subscription_Active;Abonelik Aktif
Subscription_Android;Android Aboneliği
Subscription_Ended;Abonelik Sona Erdi
Subscription_Expired;Abonelik Süresi Doldu
Subscription_Lifetime;Ömür Boyu Abonelik
Subscription_Thanks;Abonelik İçin Teşekkürler
Substream;Alt Akış
SubTrack;Altİz
SubtstreamIdChannel;Alt Akış Kanal Kimliği
Summary;Özet
Supported formats;Desteklenen biçimler
Supported?;Desteklenen mi?
SupportUs;Bizi Destekleyin
SupportUs2;Bizi Destekleyin 2
surmixlev;surmixlev
SurroundAttenuationKnown;Surround Zayıflaması Biliniyor
SwitchGroup;Grup Değiştir
Synopsis;Özet
SystemId;Id
Tagged_Application;Etiketleme uygulaması
Tagged_Date;Etiketleme tarihi
TargetDeviceConfig;Hedef Cihaz Yapılandırması
Technician;Teknisyen
TermsOfUse;Kullanım şarları
TertiaryAudioLanguage;Üçüncül Ses Dili
TestContinuousFileNames;Sürekli Dosya Adlarını Test Et
Text - Custom;Metin - Özel
Text (HTML);Metin (HTML)
Text stream(s);Yazı akışı
Text streams;Yazı akışı
Text;Metin
Text_Codec_List;Yazı kodekleri
Text_Format_List;Metin Biçimleri Listesi
Text_Format_WithHint_List;İpucu ile Metin Biçimleri Listesi
Text_Language_List;Metin Dilleri Listesi
Text_No;Yazı yok
Text1;Birinci altyazı
Text2;İkinci altyazı
Text3;Üçüncü altyazı
TextCount;Altyazı sayısı
TextlessElementsExist;Metinsiz Öğeler Mevcut
ThanksTo;Teşekkürler
Thousands separator;Binlik basamak ayırıcı
TimeCode;Zaman kodu
TimeCode_FirstFrame;İlk karenin zaman kodu
TimeCode_LastFrame;Son Kare Zaman Kodu
TimeCode_MaxFrameNumber;Maksimum Kare Numarası
TimeCode_MaxFrameNumber_Theory;Maksimum Kare Numarası (Teorik)
TimeCode_Settings;Zaman kodu ayarları
TimeCode_Source;Zaman kodu kaynağı
TimeCode_Stripped;Zaman kodu, şeritli
TimeStamp;Zaman damgası
TimeZone;Saat dilimi
Title;Başlık
Title_More;Başlık, daha fazla bilgi
Top4ToTop2;Üst4'ten Üst2'ye
TopBackToFront;Üst Arka'dan Ön'e
TopBackToSide;Üst Arka'dan Yan'a
TopFrontToBack;Üst Ön'den Arka'ya
TopFrontToFront;Üst Ön'den Ön'e
TopFrontToSide;Üst Ön'den Yan'a
Total;Toplam
TotalNumberOfParts;Parçaların Toplam Sayısı
TotalProgrammeDuration;Toplam Program Süresi
TraceLevel0;İzleme Seviyesi 0
TraceLevel5;İzleme Seviyesi 5
TraceLevel9;İzleme Seviyesi 9
TraceLevel10;İzleme Seviyesi 10
Track;Parça adı
Track_Count;Parça sayısı
TrackFormat;İz Biçimi
TrackIndex;İz İndeksi
TrackUID;İz UID
transfer_characteristics;Aktarım nitelikleri
transfer_characteristics_Source;Aktarım Nitelikleri, Kaynak
Translate_Reports;Raporları Çevir
Translator;Çevirmen
Transport;Taşıma
Tree & Text;Ağaç ve Metin
Tree;Ağaç
Trim_Center;Kırpma, Merkez
Trim_Height;Kırpma, Yükseklik
Trim_Surround;Kırpma, Surround
TrimMode;Kırpma Kipi
TrimMode0i;Kırpma Kipi 0i
TrimMode1i;Kırpma Kipi 1i
TrimMode2i;Kırpma Kipi 2i
TrimMode3i;Kırpma Kipi 3i
TrimMode4i;Kırpma Kipi 4i
TrimMode5i;Kırpma Kipi 5i
TrimMode6i;Kırpma Kipi 6i
TrimMode7i;Kırpma Kipi 7i
TrimMode8i;Kırpma Kipi 8i
TruePeakLevel;Gerçek Tepe Seviyesi
TruePeakLevel_Album;Gerçek Tepe Seviyesi, Albüm
Type;Tür
Type_Composer;Tür, Besteci
Type_Conductor;Tür, Orkestra Şefi
Type_Cover;Tür, Kapak
Type_Cover_Back;Tür, Kapak Arkası
Type_Cover_Media;Tür, Kapak Medyası
Type_DuringPerformance;Tür, Performans Sırasında
Type_DuringRecording;Tür, Kayıt Sırasında
Type_FileIcon;Tür, Dosya Simgesi
Type_FileIcon_32x32;Tür, Dosya Simgesi 32x32
Type_Illustration;Tür, Çizim
Type_LeafletPage;Tür, Broşür Sayfası
Type_Lyricist;Tür, Söz Yazarı
Type_Performer;Tür, Sanatçı
Type_Performer_Lead;Tür, Baş Sanatçı
Type_PerformerLogo;Tür, Sanatçı Logosu
Type_Picture;Tür, Resim
Type_PublisherLogo;Tür, Yayıncı Logosu
Type_RecordingLocation;Tür, Kayıt Yeri
Type_ScreenCapture;Tür, Ekran Görüntüsü
Type_Thumbnail;Tür, Küçük Resim
TypeDefinition;Tür Tanımı
UniqueID;Benzersiz ID
UniversalAdID;Evrensel Ad ID
UniversalAdID_Registry;Evrensel Ad ID kayıt defteri
UniversalAdID_Value;Evrensel Ad ID değeri
Unknown;Bilinmiyor
Url;Url
Value;Değer
Video stream(s);Görüntü akış(lar)ı
Video;Görüntü
Video_Codec_List;Görüntü kodekleri
Video_Delay;Görüntü gecikmesi
Video_Format_List;Video Biçimleri Listesi
Video_Format_WithHint_List;İpucu ile Video Biçimleri Listesi
Video_Language_List;Video Dilleri Listesi
Video_No;Görüntü yok
Video0_Delay;Görüntü0 gecikmesi
Video1;Birinci hareketli görüntü
Video2;İkinci Video
Video3;Üçüncü Video
VideoComments;Görüntü Açıklamaları
VideoCount;Hareketli görüntü sayısı
View;Görünüm
View_Hint;Görünüm bilgilerinin anlamını değiştirir
Views;Görünümler
Warning : more streams in the files;Uyarı : Dosyalarda fazla akış var
Web;Web
WebSite;Web Sitesi
WebSite_Audio;Bu ses kodek'inin web sitesine git
WebSite_Audio_More;Bu ses kodek'ini bulmak için (%Url%) web sitesine git
WebSite_General;Bu dosya için oynatıcının sitesine git
WebSite_General_More;Bu dosya için oynatıcının sitesine git
WebSite_Text;Bu yazı kodek'inin web sitesine git
WebSite_Text_More;Bu yazı ses kodek'ini bulmak için (%Url%) web sitesine git
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Bu görüntü kodek'inin web sitesine git
WebSite_Video_More;Bu görüntü kodek'ini bulmak için (%Url%) web sitesine git
Width;Genişlik
Width_CleanAperture;Temiz diyafram genişliği
Width_Original;Orijinal genişlik
Window;Pencere
WriteMe;Bana yazın
WriteToTranslator;Çevirmene yazın
Written_Date;Yazıldığı tarih
Written_Location;Yazıldığı yer
WrittenBy;Yazan
Yes;Evet
Your system;Sisteminiz
Your translation;Çeviriniz
Zoom;Büyült/Küçült
ZZ_Automatic_Percent;73
ZZ_AutomaticLanguage_Percent;74
